City,Month,Site Name,Work Type,Quantity,Total Site Bill
RAIPUR,Mar-25,RWW ODF_01&02,ODF First Cable,2063,51339
RAIPUR,Mar-25,RWW ODF_01&02,Angle,3,51339
RAIPUR,Mar-25,RWW ODF_01&02,6 MTR Pole/ 8 mtr pole,1,51339
RAIPUR,Mar-25,3MN17 - Bajaj Sky,Refilling Cable ,270,14495
RAIPUR,Mar-25,3MN17 - Bajaj Sky,IBD Cable,377,14495
RAIPUR,Mar-25,3MN17 - Bajaj Sky,8F FAT,14,14495
RAIPUR,Mar-25,3MN17 - Bajaj Sky,FMS 48F -16F FAT,1,14495
RAIPUR,Mar-25,3MN17 - Bajaj Sky,Extra Splicing,67,14495
RAIPUR,Mar-25,3MN17 - Bajaj Sky,25mm Flexible,4,14495
RAIPUR,Mar-25,3MN17 - Bajaj Sky,DOC<150,1,14495
RAIPUR,Mar-25,3MN17 - Bajaj Sky,UG,20,14495
RAIPUR,Mar-25,RAV300112,Refilling Cable ,155,4025
RAIPUR,Mar-25,RAV300112,8F FAT,1,4025
RAIPUR,Mar-25,RAV300112,Extra Splicing,14,4025
RAIPUR,Mar-25,RAV300112,25mm Flexible,1,4025
RAIPUR,Mar-25,RAV300112,Angle,1,4025
RAIPUR,Mar-25,RBB CUTOVER,Refilling Cable ,1273,25816
RAIPUR,Mar-25,RBB CUTOVER,FMS 48F -16F FAT,1,25816
RAIPUR,Mar-25,RBB CUTOVER,FDMS 48F,1,25816
RAIPUR,Mar-25,RBB CUTOVER,Extra Splicing,48,25816
RAIPUR,Mar-25,RBB CUTOVER,Angle,1,25816
RAIPUR,Mar-25,RBB CUTOVER,6 MTR Pole/ 8 mtr pole,1,25816
DURG,Mar-25,RNN07,Refilling Cable ,1144,21748
DURG,Mar-25,RNN07,8F FAT,4,21748
DURG,Mar-25,RNN07,FMS 48F -16F FAT,1,21748
DURG,Mar-25,RNN07,Extra Splicing,24,21748
DURG,Mar-25,RNN07,25mm Flexible,5,21748
DURG,Mar-25,RNN07,Angle,1,21748
DURG,Mar-25,RNN10,Refilling Cable ,411,8926
DURG,Mar-25,RNN10,8F FAT,3,8926
DURG,Mar-25,RNN10,FMS 48F -16F FAT,1,8926
DURG,Mar-25,RNN10,Extra Splicing,21,8926
DURG,Mar-25,RNN10,25mm Flexible,4,8926
DURG,Mar-25,RNN11,Refilling Cable ,189,4871
DURG,Mar-25,RNN11,8F FAT,1,4871
DURG,Mar-25,RNN11,Extra Splicing,6,4871
DURG,Mar-25,RNN11,25mm Flexible,1,4871
DURG,Mar-25,RNN11,Angle,2,4871
DURG,Mar-25,RPD09,Refilling Cable ,1164,27488
DURG,Mar-25,RPD09,8F FAT,6,27488
DURG,Mar-25,RPD09,FMS 48F -16F FAT,1,27488
DURG,Mar-25,RPD09,Extra Splicing,42,27488
DURG,Mar-25,RPD09,25mm Flexible,7,27488
DURG,Mar-25,RPD09,Angle,1,27488
DURG,Mar-25,RPD09,6 MTR Pole/ 8 mtr pole,2,27488
DURG,Mar-25,RPD11,Refilling Cable ,433,11401
DURG,Mar-25,RPD11,8F FAT,3,11401
DURG,Mar-25,RPD11,FMS 48F -16F FAT,1,11401
DURG,Mar-25,RPD11,Extra Splicing,24,11401
DURG,Mar-25,RPD11,25mm Flexible,4,11401
DURG,Mar-25,RPD11,6 MTR Pole/ 8 mtr pole,1,11401
DURG,Apr-25,2TC04 05,ODF First Cable,3620,95360
DURG,Apr-25,2TC04 05,ODF Common cable,180,95360
DURG,Apr-25,2TC04 05,Angle,10,95360
DURG,Apr-25,2TC04 05,6 MTR Pole/ 8 mtr pole,2,95360
DURG,Apr-25,RPD04 2FAT,Refilling Cable ,424,7958
DURG,Apr-25,RPD04 2FAT,8F FAT,2,7958
DURG,Apr-25,RPD04 2FAT,Extra Splicing,12,7958
DURG,Apr-25,RPD04 2FAT,25mm Flexible,2,7958
DURG,Apr-25,3II05 1FAT,Refilling Cable ,210,3947
DURG,Apr-25,3II05 1FAT,8F FAT,1,3947
DURG,Apr-25,3II05 1FAT,Extra Splicing,6,3947
DURG,Apr-25,3II05 1FAT,25mm Flexible,1,3947
DURG,Apr-25,2TW01 3FAT,Refilling Cable ,744,14254
DURG,Apr-25,2TW01 3FAT,8F FAT,3,14254
DURG,Apr-25,2TW01 3FAT,FMS 48F -16F FAT,1,14254
DURG,Apr-25,2TW01 3FAT,Extra Splicing,21,14254
DURG,Apr-25,2TW01 3FAT,25mm Flexible,4,14254
DURG,Apr-25,2FN03,Refilling Cable ,180,3467
DURG,Apr-25,2FN03,8F FAT,1,3467
DURG,Apr-25,2FN03,Extra Splicing,6,3467
DURG,Apr-25,2FN03,25mm Flexible,1,3467
DURG,Apr-25,2II06,Refilling Cable ,160,3147
DURG,Apr-25,2II06,8F FAT,1,3147
DURG,Apr-25,2II06,Extra Splicing,6,3147
DURG,Apr-25,2II06,25mm Flexible,1,3147
DURG,Apr-25,2TW10 3FAT,Refilling Cable ,528,10798
DURG,Apr-25,2TW10 3FAT,8F FAT,3,10798
DURG,Apr-25,2TW10 3FAT,FMS 48F -16F FAT,1,10798
DURG,Apr-25,2TW10 3FAT,Extra Splicing,21,10798
DURG,Apr-25,2TW10 3FAT,25mm Flexible,4,10798
RAIPUR,Apr-25,RCC26 1FAT,Refilling Cable ,118,2475
RAIPUR,Apr-25,RCC26 1FAT,8F FAT,1,2475
RAIPUR,Apr-25,RCC26 1FAT,Extra Splicing,6,2475
RAIPUR,Apr-25,RCC26 1FAT,25mm Flexible,1,2475
DURG,May-25,RY6 (7 ODF),ODF First Cable,14249,369537
DURG,May-25,RY6 (7 ODF),ODF Common cable,962,369537
DURG,May-25,RY6 (7 ODF),Angle,13,369537
DURG,May-25,RY6 (7 ODF),6 MTR Pole/ 8 mtr pole,12,369537
DURG,May-25,2II04,Refilling Cable ,661,13554
DURG,May-25,2II04,8F FAT,4,13554
DURG,May-25,2II04,Extra Splicing,24,13554
DURG,May-25,2II04,25mm Flexible,4,13554
DURG,May-25,2II04,Angle,1,13554
DURG,May-25,2TW02,Refilling Cable ,498,9852
DURG,May-25,2TW02,8F FAT,3,9852
DURG,May-25,2TW02,Extra Splicing,21,9852
DURG,May-25,2TW02,25mm Flexible,3,9852
DURG,May-25,RNR08,Refilling Cable ,480,10235
DURG,May-25,RNR08,8F FAT,3,10235
DURG,May-25,RNR08,Extra Splicing,21,10235
DURG,May-25,RNR08,25mm Flexible,4,10235
DURG,May-25,RNR08,Angle,1,10235
DURG,May-25,2TW10,Refilling Cable ,528,10798
DURG,May-25,2TW10,8F FAT,3,10798
DURG,May-25,2TW10,FMS 48F -16F FAT,1,10798
DURG,May-25,2TW10,Extra Splicing,21,10798
DURG,May-25,2TW10,25mm Flexible,4,10798
RAIPUR,May-25,HIGH PARK 3 ODF,Refilling Cable ,1400,67009
RAIPUR,May-25,HIGH PARK 3 ODF,IBD Cable,552,67009
RAIPUR,May-25,HIGH PARK 3 ODF,DUCTING WITH CABLE PULLING,366,67009
RAIPUR,May-25,HIGH PARK 3 ODF,8F FAT,28,67009
RAIPUR,May-25,HIGH PARK 3 ODF,FMS 48F -16F FAT,4,67009
RAIPUR,May-25,HIGH PARK 3 ODF,FDMS 48F,2,67009
RAIPUR,May-25,HIGH PARK 3 ODF,Extra Splicing,369,67009
RAIPUR,May-25,HIGH PARK 3 ODF,25mm Flexible,120,67009
RAIPUR,May-25,HIGH PARK 3 ODF,Angle,3,67009
RAIPUR,May-25,HIGH PARK 3 ODF,6 MTR Pole/ 8 mtr pole,1,67009
RAIPUR,May-25,HIGH PARK 3 ODF,DOC>150,1,67009
RAIPUR,May-25,3RA SHIFTING,Refilling Cable ,1635,41692
RAIPUR,May-25,3RA SHIFTING,FDMS 48F,2,41692
RAIPUR,May-25,3RA SHIFTING,Extra Splicing,192,41692
